List of Figures

Figure 2-1	Visual Monikers.	 OGen : 168

Figure 2-2	Some examples of mnemonics.	 OGen : 170

Figure 2-3	A Simple Text Moniker	 OGen : 177

Figure 2-4	A GString Moniker	 OGen : 178

Figure 2-5	A Visual Moniker List	 OGen : 180

Figure 2-6	A sample generic tree structure	 OGen : 183

Figure 2-7	A Menu with Three Children.	 OGen : 183

Figure 2-8	Some Sample Keyboard Accelerators	 OGen : 184

Figure 2-9	Setting an Object GS_USABLE	 OGen : 192

Figure 2-10	Setting an Object GS_ENABLED	 OGen : 193

Figure 5-1	Example GenTriggers	 OGenTrg : 361

Figure 5-2	GenTriggers as Menu Items.	 OGenTrg : 363

Figure 5-3	Default GenTrigger activation.	 OGenTrg : 371

Figure 6-1	A Collection of GenGlyphs.	 OGenGly : 379

Figure 6-2	Examples of GenGlyphs.	 OGenGly : 380

Figure 6-3	A Toggleable GenGlyph	 OGenGly : 382

Figure 7-1	Sub-Group Interactions	 OGenInt : 389

Figure 7-2	Popups in a GenPrimary.	 OGenInt : 390

Figure 7-3	A Dialog Box.	 OGenInt : 390

Figure 7-4	Popouts	 OGenInt : 391

Figure 7-5	A Keypad example	 OGenInt : 407

Figure 7-6	GenInteractions as Popups (Menus)	 OGenInt : 409

Figure 7-7	Interactions Within Popups	 OGenInt : 409

Figure 7-8	GenInteraction with Nested Menus	 OGenInt : 410

Figure 7-9	Properties Dialog in Delayed Mode	 OGenInt : 412

Figure 7-10	A "popped out" Popout	 OGenInt : 413

Figure 7-11	A Properties Dialog Box.	 OGenInt : 417

Figure 7-12	A Properties Dialog	 OGenInt : 420

Figure 7-13	A Command Dialog Box.	 OGenInt : 424

Figure 7-14	A Progress Dialog Box.	 OGenInt : 428

Figure 7-15	A Notification Dialog Box.	 OGenInt : 430

Figure 7-16	An Affirmation Dialog Box.	 OGenInt : 432

Figure 7-17	A Multiple Response Dialog Box.	 OGenInt : 434

Figure 7-18	Dialog with Activation Trigger	 OGenInt : 437

Figure 7-19	A modal dialog box	 OGenInt : 440

Figure 7-20	Standard Dialog Boxes	 OGenInt : 447

Figure 8-1	A GenValue	 OGenVal : 464

Figure 9-1	Various Coordinate Spaces	 OGenVew : 529

Figure 10-1	Sample Text Flows	 OText : 591

Figure 10-2	Structure of a Style Run	 OText : 641

Figure 10-3	Example of a Character Run	 OText : 642

Figure 11-1	Examples of several list objects	 OGenLst : 720

Figure 12-1	Sample Controller Application	 OGenCtl : 789

Figure 12-2	The psctext.goc Object Tree	 OGenCtl : 790

Figure 12-3	Controller Interactions	 OGenCtl : 791

Figure 12-4	A Tool Box	 OGenCtl : 802

Figure 12-5	Toolbars of the Sample Application	 OGenCtl : 807

Figure 12-6	Modified psctext.geo Object Tree	 OGenCtl : 808

Figure 13-1	Document Ctrl Object Relationships	 OGenDoc : 864

Figure 14-1	A GenFileSelector	 OGenFil : 940

Figure 14-2	An Open File Selector for GeoWrite	 OGenFil : 941

Figure 15-1	Normal Help	 OHelp : 994

Figure 15-2	First Aid Help	 OHelp : 995

Figure 15-3	Simple Help	 OHelp : 996

Figure 15-4	Help Triggers	 OHelp : 998

Figure 15-5	A Sample Help Context	 OHelp : 1010

Figure 15-6	The Define File Dialog	 OHelp : 1012

Figure 15-7	The Define Context Dialog	 OHelp : 1012

Figure 15-8	The Set Context Dialog	 OHelp : 1013

Figure 15-9	The Set Hyperlink Dialog	 OHelp : 1014

Figure 17-1	Print Dialog Box	 OPrint : 1048

Figure 17-2	Printer Control Panel	 OPrint : 1048

Figure 17-3	Multiple Printer Queues	 OPrint : 1049

Figure 17-4	User Print Trigger	 OPrint : 1054

Figure 17-5	Preparing for New Print Job	 OPrint : 1054

Figure 17-6	Application Supplies Job	 OPrint : 1055

Figure 17-7	Job Traverses Queue	 OPrint : 1055

Figure 17-8	Printing	 OPrint : 1056

Figure 17-9	Hurrying and Delaying Jobs	 OPrint : 1095

Figure 18-1	Relations Between Objects	 OGrObj : 1104

Figure 18-2	Selection with an Extra Tool	 OGrObj : 1108

Figure 18-3	Wrapping Text	 OGrObj : 1113

Figure 19-1	Rulers	 ORuler : 1178

Figure 19-2	UI Linkages for Rulers	 ORuler : 1179

Figure 20-1	Arranging Spreadsheet Objects	 OSsheet : 1226

Figure 21-1	Typical Pen Input	 OPen : 1247

Figure 22-1	Preferences Dialog	 OConfig : 1260

Figure 22-2	Preferences Buttons	 OConfig : 1265

Figure 22-3	PrefTocList in Action	 OConfig : 1286

Figure 23-1	Visible Class Tree	 OVis : 1298

Figure 23-2	Visible and Generic Object Trees	 OVis : 1315

Figure 23-3	Drawing Order of Vis Objects	 OVis : 1352

Figure 23-4	Adding a Visible Child	 OVis : 1375

Figure 23-5	Drawing in a Large Document	 OVis : 1396

Figure 26-1	Hierarchy of System Objects	 OSysObj : 1454
